location,latitude,longitude
"London, UK",22.3700604,114.11999
"The City, Central London",53.4763692,-2.2316009
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"South East London, London",51.4856724,-0.0468067
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"Reading, Berkshire",51.4206831,-0.9752254
"London, UK",22.3700604,114.11999
"Reading, Berkshire",51.4206831,-0.9752254
"Manchester, Greater Manchester",53.4424618,-2.2324547
"Manchester, Greater Manchester",53.4424618,-2.2324547
"Leeds, West Yorkshire",53.7974185,-1.5437941
"Leeds, West Yorkshire",53.7974185,-1.5437941
"The City, Central London",53.4763692,-2.2316009
"Leeds, West Yorkshire",53.7974185,-1.5437941
"Northampton, Northamptonshire",52.2343297,-0.9028043
"Birmingham, West Midlands",52.4948994,-1.8518439
"Manchester, Greater Manchester",53.4424618,-2.2324547
"Exeter, Devon",50.7256138,-3.5269209
"Manchester, Greater Manchester",53.4424618,-2.2324547
"Glasgow, Scotland",55.861155,-4.2501687
"Oxford Circus, Central London",,
"Oxford Circus, Central London",,
"Oxford Circus, Central London",,
"Oxford Circus, Central London",,
"Exeter, Devon",50.7256138,-3.5269209
"Reading, Berkshire",51.4206831,-0.9752254
"London, UK",22.3700604,114.11999
"Manchester, Greater Manchester",53.4424618,-2.2324547
"London, UK",22.3700604,114.11999
"West Midlands, UK",52.51508,-2.0214674
"Birmingham, West Midlands",52.4948994,-1.8518439
"Manchester, Greater Manchester",53.4424618,-2.2324547
"Manchester, Greater Manchester",53.4424618,-2.2324547
"London, UK",22.3700604,114.11999
"Leeds, West Yorkshire",53.7974185,-1.5437941
"Leeds, West Yorkshire",53.7974185,-1.5437941
"Sheffield, South Yorkshire",53.3806626,-1.4702278
"Edinburgh, Scotland",55.9533456,-3.1883749
"Glasgow, Scotland",55.861155,-4.2501687
"Birmingham, West Midlands",52.4948994,-1.8518439
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"South East London, London",51.4856724,-0.0468067
"The City, Central London",53.4763692,-2.2316009
"Bristol, South West England",51.4593896,-2.5835348
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"Bristol, South West England",51.4593896,-2.5835348
"Birmingham, West Midlands",52.4948994,-1.8518439
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"Wolverhampton, West Midlands",52.5847651,-2.127567
"Edinburgh, Scotland",55.9533456,-3.1883749
"Doncaster, South Yorkshire",53.5227681,-1.1335312
"Bristol, South West England",51.4593896,-2.5835348
"Bristol, South West England",51.4593896,-2.5835348
"London, UK",22.3700604,114.11999
"London, UK",22.3700604,114.11999
"South East London, London",51.4856724,-0.0468067
"London, UK",22.3700604,114.11999
"Wolverhampton, West Midlands",52.5847651,-2.127567
"Wolverhampton, West Midlands",52.5847651,-2.127567
"Wolverhampton, West Midlands",52.5847651,-2.127567
"Milton Keynes, Buckinghamshire",52.0348915,-0.7465033
"Milton Keynes, Buckinghamshire",52.0348915,-0.7465033
"Bristol, South West England",51.4593896,-2.5835348
"Newcastle Upon Tyne, Tyne & Wear",54.9738474,-1.6131572
"Newcastle Upon Tyne, Tyne & Wear",54.9738474,-1.6131572
"Edinburgh City Centre, Edinburgh",55.9715525,-3.1717428
"Oxford Circus, Central London",,
"Newcastle Upon Tyne, Tyne & Wear",54.9738474,-1.6131572
"Pytchley, Kettering",52.3775967,-0.7210677
"Pytchley, Kettering",52.3775967,-0.7210677
"Pytchley, Kettering",52.3775967,-0.7210677
UK,52.5019896,-2.0209184
"Milton Keynes, Buckinghamshire",52.0348915,-0.7465033
"Wolverhampton, West Midlands",52.5847651,-2.127567
"South East London, London",51.4856724,-0.0468067
"Newcastle Upon Tyne, Tyne & Wear",54.9738474,-1.6131572
"Southampton, Hampshire",50.8995203,-1.3275406
"South East London, London",51.4856724,-0.0468067
"Birmingham, West Midlands",52.4948994,-1.8518439
"Whitechapel, East London",51.5197615,-0.0600874
UK,52.5019896,-2.0209184
UK,52.5019896,-2.0209184
"Manchester, Greater Manchester",53.4424618,-2.2324547
UK,52.5019896,-2.0209184
"Manchester, Greater Manchester",53.4424618,-2.2324547
"Charing Cross, Central London",,
"Charing Cross, Central London",,
"London, UK",22.3700604,114.11999
"Watford, Hertfordshire",51.6553875,-0.3957425
UK,52.5019896,-2.0209184
"Watford, Hertfordshire",51.6553875,-0.3957425
"South East London, London",51.4856724,-0.0468067
UK,52.5019896,-2.0209184
UK,52.5019896,-2.0209184
"South East London, London",51.4856724,-0.0468067
"South East London, London",51.4856724,-0.0468067
"Nottingham, Nottinghamshire",52.9534193,-1.1496461
UK,52.5019896,-2.0209184
"Charing Cross, Central London",,
UK,52.5019896,-2.0209184
"London, UK",22.3700604,114.11999
UK,52.5019896,-2.0209184
UK,52.5019896,-2.0209184
UK,52.5019896,-2.0209184
UK,52.5019896,-2.0209184
"Nottingham, Nottinghamshire",52.9534193,-1.1496461
"Nottingham, Nottinghamshire",52.9534193,-1.1496461
"Birmingham, West Midlands",52.4948994,-1.8518439
"Birmingham, West Midlands",52.4948994,-1.8518439
"Birmingham, West Midlands",52.4948994,-1.8518439
